hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ00_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,state_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2011_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,stayed_state_local,exited_state_local,moved_to_federal,moved_to_private,analytic_sample
75881770978398,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,49,2.0,1,40,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,6.0,32.0,,,6.0,,,4.0,3.0,0.0,1,2.0,,1.0,3400.0,1360.0,1.0,,,,,14142.3246,3597.7591,4,1,0.0,0.0,0,0,31664,1,,,2.0,,,,3577.3865,7860.0,4220.0,-1,,,,,,,11080.0,2010,600,597,0,0,0,1,0,13.0,14.0,40.0,2010,1.0,1,8,2,8600,86001,1,33,17,16980,0,1.0,1.0,1.0,7,1,50,2.0,1,40,1,,1,1,1,2,57,57,57,1,0,0,,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,1500.0,600.0,1.0,,,,,13552.1843,3364.9612,0,0,1.0,1.0,0,41,38756,1,,,1.0,,,,3349.125,7860.0,8610.0,-1,,,,,,,11212.0,2011,612,597,0,0,0,0,0,12.0,21.0,40.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,1,0,0,0,retention
75881770978398,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,1.0,7,4,24,,1,40,1,,3,1,3,7,2,57,57,57,1,0,0,2.0,4.0,,,,,,,,52.0,3.0,11.0,3.0,0.0,2,,,,,,,,1.0,1.0,1.0,12712.2224,3261.5299,0,0,,,0,0,31664,3,,,2.0,,,,3294.457,7860.0,4220.0,-1,,,,,2.0,1.0,11084.0,2010,600,597,0,0,0,0,0,13.0,14.0,40.0,2010,1.0,1,8,2,8600,86001,1,33,17,16980,0,1.0,1.0,1.0,7,4,25,,1,40,1,,1,3,7,2,57,57,57,1,0,0,,6.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,13477.1882,3185.4334,0,0,,,0,0,38756,3,,,1.0,,,,3421.28,,,-1,,,,,2.0,1.0,11210.0,2011,612,597,0,0,0,0,0,12.0,,,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,1,0,0,retention
100974098217569,1,1.0,6,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,,7,2,28,,1,43,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,50.0,,50.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,865.38,1.0,,,,,12764.0455,3232.3312,0,0,0.0,,0,0,5048,1,,,,1.0,2.0,,3211.1808,7860.0,2320.0,-1,,,,,,,11104.0,2010,600,597,0,0,0,0,0,17.0,8.0,40.0,2010,1.0,6,8,2,8600,86001,1,33,17,16980,0,1.0,1.0,,7,2,29,,1,43,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,60.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,1057.69,1.0,,,,,12571.5323,3185.4334,0,0,0.0,,0,0,61405,1,,,,2.0,,,3157.0892,7860.0,2320.0,-1,,,,,,,11229.0,2011,612,597,0,0,0,0,0,16.0,8.0,40.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,1,0,0,0,retention
710709915835967,1,4.0,1,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,59,5.0,1,44,1,4.0,1,1,1,1,2,57,373,57,1,0,0,2.0,1.0,,35.0,,35.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,2875.0,2.0,1.0,,,,12928.1826,3244.3447,4,1,1.0,,0,0,8578,1,,,,,,2.0,3224.0629,770.0,1360.0,-1,,,,,,,11256.0,2010,600,597,0,0,0,1,0,18.0,4.0,4.0,2010,2.0,1,8,2,8600,86001,1,33,17,16980,0,1.0,1.0,1.0,7,1,60,5.0,1,44,1,4.0,1,1,1,2,57,373,57,1,0,0,2.0,1.0,,35.0,,35.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,646.0,2.0,2.0,,,,11189.9908,2824.6229,0,0,1.0,,0,0,40372,1,,,,,,2.0,2753.6154,9370.0,1530.0,-1,,,,,,,11387.0,2011,612,597,0,0,0,0,0,18.0,4.0,51.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,1,0,0,0,retention
729770560960971,1,1.0,6,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,23,,1,43,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,4.0,,,,,,,,6.0,5.0,12.0,2.0,0.0,2,,,,,,,,1.0,1.0,2.0,12712.2224,3261.5299,0,0,,,0,0,33992,1,,,,1.0,1.0,,3294.457,7860.0,2540.0,-1,,,,,,,11269.0,2010,600,597,0,0,0,0,0,18.0,8.0,40.0,2010,1.0,1,8,2,8600,86001,1,33,17,16980,0,1.0,1.0,1.0,7,1,24,2.0,1,43,1,,1,1,1,2,57,57,57,1,0,0,1.0,4.0,,,,,,,,7.0,5.0,11.0,2.0,0.0,2,,,,,,,,1.0,2.0,2.0,14585.2611,3326.6572,0,0,,,0,0,4000,1,,,,1.0,1.0,,3240.228,7860.0,2330.0,-1,,,,,,,11406.0,2011,612,597,0,0,0,0,0,18.0,8.0,40.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,1,0,0,0,retention
729770560960971,1,1.0,6,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,1.0,7,14,24,,2,43,1,,2,0,0,7,2,57,57,57,1,0,0,2.0,4.0,,,,,,,,4.0,5.0,12.0,2.0,0.0,2,,,,,,,,1.0,1.0,2.0,19243.1265,4060.2748,0,0,,,0,0,33992,2,,,,1.0,1.0,,4004.1355,7860.0,2540.0,-1,,,,,,,11270.0,2010,600,597,0,0,0,0,0,18.0,8.0,40.0,2010,1.0,1,8,2,8600,86001,1,33,17,16980,0,1.0,1.0,1.0,7,3,25,1.0,2,43,1,,1,2,1,2,57,57,57,1,0,0,2.0,4.0,,,,,,,,7.0,5.0,11.0,2.0,0.0,2,,,,,,,,,,,12846.3669,3202.2077,0,0,,,0,0,4000,2,,,,1.0,1.0,,3077.9613,7860.0,2540.0,-1,,,,,,,11407.0,2011,612,597,0,0,0,0,0,18.0,8.0,40.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,1,0,0,0,retention
860278094717008,1,2.0,1,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,,7,1,45,2.0,1,39,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,961.53,1.0,,,,,14142.3246,3597.7591,4,3,0.0,,0,0,33986,1,1.0,,,,,,3577.3865,9470.0,3850.0,-1,,,,,,,11298.0,2010,600,597,0,0,0,1,0,12.0,12.0,51.0,2010,2.0,1,8,2,8600,86001,1,33,17,16980,0,1.0,1.0,,7,1,46,2.0,1,39,1,,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,961.53,1.0,,,,,14183.9074,3486.8322,4,3,0.0,,0,0,18232,1,1.0,,,,,,3505.2416,9470.0,3800.0,-1,,,,,,,11456.0,2011,612,597,0,0,0,1,0,12.0,12.0,51.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,1,0,0,0,retention
193857503043743,1,2.0,1,4,2,8600,86001,1,1,33,17,16980,0,2.0,1.0,,7,3,42,1.0,2,43,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,7.0,,,,,,,,,,1.0,3.0,0.0,2,,,,,,,,,,,11791.8108,3035.0482,10,2,,,0,0,33988,2,,,,1.0,2.0,,3027.9815,7860.0,2310.0,-1,,,,,,,11495.0,2010,600,597,0,0,1,1,0,17.0,8.0,40.0,2010,2.0,1,8,2,8600,86001,1,33,17,16980,0,2.0,1.0,,7,3,43,1.0,2,43,1,,1,2,1,2,57,57,57,1,0,0,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11246.3375,2833.9897,3,1,,,0,0,51840,2,,,,1.0,1.0,,2832.1429,,,-1,,,,,,,11654.0,2011,612,597,0,0,1,0,0,18.0,,,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,1,0,0,retention
199927808012768,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,2.0,1.0,,7,3,43,1.0,2,43,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,-4.0,,16.0,,,17.0,,,7.0,2.0,0.0,1,2.0,,1.0,1100.0,176.0,2.0,2.0,,,,12235.8908,3035.0482,10,4,0.0,0.0,0,0,44494,2,,,,1.0,1.0,,3029.3104,7860.0,2310.0,-1,,,,,,,11536.0,2010,600,597,0,0,1,1,0,18.0,8.0,40.0,2010,2.0,1,8,2,8600,86001,1,33,17,16980,0,2.0,1.0,,7,3,44,1.0,2,43,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1100.0,440.0,2.0,2.0,,,,11755.6619,2833.9897,10,4,0.0,0.0,0,0,55876,2,,,,1.0,1.0,,2838.8845,8470.0,2300.0,-1,,,,,,,11695.0,2011,612,597,0,0,1,1,0,18.0,8.0,43.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,1,0,1,retention
371953007908196,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,2.0,1.0,,7,1,34,2.0,2,44,1,,1,1,1,1,2,363,57,57,3,0,6,1.0,1.0,,20.0,,20.0,,,17.0,,,7.0,3.0,0.0,1,2.0,2.0,2.0,,634.61,1.0,,,,,13007.9843,3146.895,1,1,0.0,,0,0,5046,1,,,,,,2.0,3135.9162,7860.0,2310.0,-1,,,,,,,11628.0,2010,600,597,1,0,0,0,1,18.0,8.0,40.0,2010,1.0,1,8,2,8600,86001,1,33,17,16980,0,2.0,1.0,,7,1,35,2.0,2,44,1,,1,1,1,2,363,57,57,3,0,6,1.0,1.0,,20.0,,20.0,,,18.0,,,7.0,3.0,0.0,1,2.0,2.0,2.0,,818.18,1.0,,,,,12007.3024,2919.0579,1,2,0.0,,0,0,30523,1,,,,,,2.0,2899.6534,7860.0,2310.0,-1,,,,,,,11782.0,2011,612,597,1,0,0,0,1,18.0,8.0,40.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,1,0,0,0,retention
